,publish_date,video_id,channel_id,collection_date
2536,2008-10-08 20:58:13.000000,8kgVJrNgy-Q,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2537,2008-10-07 23:59:10.000000,JEniEYD59EE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2538,2008-10-05 07:09:34.000000,02Lj54edyUk,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2539,2008-10-01 19:42:34.000000,i2naSzb1psU,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2540,2008-09-29 14:23:19.000000,tqLAYg6pDGg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2541,2008-09-27 07:14:16.000000,Vyn1Nq91-o0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2542,2008-09-25 22:22:31.000000,gj9Zdmc1LYo,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2543,2008-09-12 22:50:52.000000,7iKWTUucQvw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2544,2008-09-11 17:06:37.000000,A2Xqf-BiYkw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.769767
2545,2008-09-11 03:47:19.000000,Bzi3TzTvS20,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.770762
2546,2008-09-10 17:45:03.000000,fpco64tPUKA,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.770762
2547,2008-09-05 02:11:04.000000,ng9ERLCdWsY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.770762
2548,2008-09-04 18:13:24.000000,DGwpdjw08k0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.770762
2549,2008-09-04 18:08:49.000000,q4bz73n9ysg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:26.770762
2550,2008-09-04 16:34:04.000000,eagxfXEMW4w,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2551,2008-09-04 16:23:40.000000,YYkdKsunLbc,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2552,2008-09-04 15:31:13.000000,kvHRVHSYZtw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2553,2008-09-03 20:43:37.000000,E3acMhHMWZw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2554,2008-09-03 20:43:07.000000,7Y00Q-XMMZg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2555,2008-09-03 19:26:42.000000,CWIKoP9ynuo,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2556,2008-09-03 16:15:06.000000,dP3cKjxEiAU,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2557,2008-09-03 16:06:38.000000,1-ohP6CX4Vo,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2558,2008-09-03 13:37:49.000000,Y3Ou1m0DlxY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2559,2008-09-02 17:53:18.000000,eWkLYTHaRLE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2560,2008-09-02 16:45:27.000000,xTQr5gGKr4I,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2561,2008-09-02 15:57:41.000000,sypvhRlhDOk,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2562,2008-09-02 16:08:13.000000,gDNy9k9FdpQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2563,2008-09-02 14:52:55.000000,s2KXG_z5zdA,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2564,2008-09-02 02:43:38.000000,2QEUo1H6urs,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2565,2008-09-01 23:39:59.000000,sfb_y6OtCV0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2566,2008-08-29 16:47:59.000000,iQL6DSEn-nw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2567,2008-08-28 23:53:20.000000,cA-tCz03phk,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2568,2008-08-28 23:58:57.000000,L8q6oqisbss,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2569,2008-08-28 22:32:47.000000,LDdDdeJ416o,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2570,2008-08-28 17:05:51.000000,94Ze1zK2Hiw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.174694
2571,2008-08-28 15:59:35.000000,YMLUToH-BMU,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2572,2008-08-28 09:14:22.000000,6v4NF5SZ4_Y,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2573,2008-08-28 03:03:58.000000,q2wDaAwSnBQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2574,2008-08-27 18:07:12.000000,QDT8u3z2Sn4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2575,2008-08-27 00:37:53.000000,Av11RoHTuTU,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2576,2008-08-26 14:31:00.000000,290Ry9aP620,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2577,2008-08-26 05:41:34.000000,Hu2Rqlma8v0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2578,2008-08-26 04:28:57.000000,9YI0G6c1dMQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2579,2008-08-26 02:32:35.000000,xx_Nyn5noZc,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2580,2008-08-15 20:40:56.000000,Z1MBrUMauak,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2581,2008-08-13 04:49:06.000000,DRXzbcGY5ZE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2582,2008-08-07 16:52:59.000000,xtm8dmr5noo,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2583,2008-08-06 17:19:31.000000,HbTEzhaXZ3w,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2584,2008-08-04 21:49:41.000000,DDK9Ic2qx3I,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2585,2008-07-31 21:28:26.000000,jD3WTXdKsYw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2586,2008-07-29 11:51:16.000000,3752txCJL7Y,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2587,2008-07-28 17:44:09.000000,c1vynA-dfEo,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2588,2008-07-25 14:20:59.000000,ZJ0T6xZPNJM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2589,2008-07-23 16:09:54.000000,vzNkW2eyR-I,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2590,2008-07-18 22:52:43.000000,wT79F44dRNs,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2591,2008-07-15 19:19:58.000000,BO1qwPf-I5Q,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2592,2008-07-10 12:38:57.000000,hFDlVgIgr8E,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2593,2008-07-09 04:57:57.000000,JlAkUjNIK-g,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2594,2008-07-07 21:50:53.000000,aoEO4NqqZQU,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2595,2008-07-07 21:31:02.000000,kBdoClyOtIw,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2596,2008-07-02 21:06:24.000000,8-Vsxryu3SE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2597,2008-06-27 20:31:05.000000,ry4ap0Jyi-A,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2598,2008-06-25 10:30:19.000000,Z9csCerjfdE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2599,2008-06-19 21:40:45.000000,7UOfFlkurx4,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.175686
2600,2008-06-11 02:33:39.000000,BkMRjBauvPI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2601,2008-05-28 15:49:13.000000,h1tA9uPlI8k,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2602,2008-05-28 10:42:18.000000,EgCexE_svAg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2603,2008-05-21 19:39:56.000000,8g5fjlFnln0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2604,2008-05-21 17:08:34.000000,tpjBxf_CNHM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2605,2008-05-16 16:37:14.000000,D1w_4PN3wks,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2606,2008-05-07 19:28:48.000000,00NglyH5loM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2607,2008-05-07 18:30:37.000000,8ARvUF9GNes,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2608,2008-04-28 12:36:15.000000,hqgYNDGB6ds,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2609,2008-04-22 22:28:46.000000,iAUK66SPnrM,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2610,2008-04-18 15:00:05.000000,EiH65EFxctI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2611,2008-04-17 14:35:21.000000,YL1tje1_JB0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2612,2008-04-11 21:09:29.000000,bJCCQbv48dY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2613,2008-04-01 02:18:28.000000,wuMZZ0wv1oE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2614,2008-03-24 14:02:00.000000,2_Tu0eod8q0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2615,2008-03-18 08:48:23.000000,QHwDeCBlqqY,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2616,2008-03-13 17:17:14.000000,ImLSljbCGmg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2617,2008-03-12 14:29:13.000000,nrgJIiWe_hQ,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2618,2008-03-05 17:18:27.000000,ej5feQ5HwIU,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2619,2008-02-22 19:34:10.000000,Vj7THjp6xnI,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2620,2008-02-19 00:36:16.000000,VOWh6mSsIvE,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2621,2008-02-13 23:06:03.000000,_YN7EDtddG0,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
2622,2008-02-04 03:00:17.000000,GvvuHREm5jg,UC0uVZd8N7FfIZnPu0y7o95A,2019-02-28 21:43:27.441133
